text	label
PDP is a useless Oposition party	hateful
E be like say crazy dey worry you, una don turn Nigerian to mumu	abusive
Thank you Mr Governor.	normal
Una no just get shame. When people like her asked you to come out and tell them@how you intend to deliver on the lagos project by 2023, you were missing.	abusive
I intimated them that we would be completing the Lagos-Badagry highway soon, as the stretch towards Okokomaiko is the final stage,which will be completed by the end of the year.   I am indeed thankful to the leadership & members of the Alaba-Rago community for their warm welcome.	normal
They are living in fool’s paradise thinking they’ll be there forever. The smell of coffee will awaken them soon.	abusive
Thuggery and rigging	abusive
God bless Lagos state	normal
Just look at how you  @APC  members have suddenly gone blind of the true identity and personality of Kashim shittima the biggest promoter of boko haram and one of their major financier..you  @APC  should be ashamed of even mentioning campaign or convincing someone to vote 4 you guys	abusive
AMEN	normal
Abode is better than u	abusive
Baba werey. Oshiwin eniyan. Emi lokan wey no get intellectual capacity to govern the whole federation  Mother fucker	hateful
Just dey play	abusive
Both of you are gunners	abusive
Poverty mentality is all I see. Just Imagine	abusive
Loser Loser Lagos don’t want you you failed woefully	abusive
I am so disappointed in you, Chinedu. We will not be voting for someone who profile others.   You will never become Lagos’s Governor.	hateful
Stupid Government so called APC they disappointed Nigerians morethan ever before, we pray to God to curse all Political Office Holders of APC.	hateful
eku ise oluwa.	normal
Oga na this one go cause fight between me and u be this Y u want to give sanwo olu points? Don't you know he will copy your work and put it in his campaign? Please hide your wisdom until when you take over from Tinubu puppet	abusive
Werey onigbo	abusive
Today,  @drobafemihamzat  and I received the endorsement for a second term from 4,325 Community Development Associations (CDAs) and the 57 Community Development Councils (CDCs) in Lagos State at the 2022 Community Day Celebration organized by the CDAC in collaboration with LASG.	normal
Baba all your works are so evident and inevitable for the eyes to see. We want evident government not audio achievement some set of people are trying to force on us.  @jidesanwoolu  is working. Lagos is working. You have our support.  @least  we don’t have sit at home here in Lagos	normal
In the heart of Ajah Lagos, I am inspired by the enthusiasm of the electorates made up of mostly youths.   I can relate with my Principal when he says he can’t afford to let Nigeria down, cos I also feel same way too.  LP will deliver, Vote LP  Èkó E dìde!!  ~GRV.	normal
Your head no correct ...wey  de security wey you provide? Who go die for you?	abusive
Shut up, pack your bags and get lost clown	abusive
… quicker response to scene of emergencies within their specific area of coverage, as we believe the proximity of fire stations to incident locations is crucial to rescue and safety operations.   With the new facilities, fire men will get to incident sites in record time.  4/4	normal
This man is just opening his mouth to voice nonsense	abusive
Ogun Kee u Sanwoolu. Oonni jere tomotomo.	abusive
As a golden fish, which cannot be hidden, Shettima within four years served as Commissioner in five ministries - Finance and Economic Development, Local Governments and Chieftaincy Affairs, Education, Agriculture and Health. Having proved to be a trusted and…  3/6	normal
I, Gbadebo would open and publish Lagos State Accounts for FULL TRANSPARENCY.  Decongest the Lagos waste management system engaging private partners.  OUR LAGOS is POssible, a SANER Lagos is POssible.  Èkó E dìde!!  ~GRV.	normal
The youths you guys conspired and killed during end SARS	hateful
You dy do like Sowore with unrealistic promises, it just show how poorly you could likely preform if you are being giving the opportunity	abusive
You’re going to get sacked. Have a miserable life	hateful
Nawa o omo ibo in our land,you no have shame ,	hateful
Misinformation, with the goal of confusing the voting public about the Lagos4Lagos movement and my person is a tool the APC has tried to use to undermine my candidacy, and the mission we have undertaken to rescue Lagos from bad governance.	normal
Jide, you are doing well.	normal
Alaye abeg no come dey preach nonsense for us here	abusive
May the departed soul of Mama rest in peace. God in HIS infinities Mercies shall grant his excellency, family and friends the fortitude to bear the irreplaceable lost .	normal
Oloriburuku omo ibo, no Igbos must vote on Saturday	hateful
It's like they have sworn for you	abusive
Sir you are not doing enough on drainage clearance,I think you still need to contact  @tundefashola  to give you clue on how he dealt with drainage and environment. It was superb sir	normal
Set awon thief	abusive
My fellow Lagosians,  I am passionate about the people of Lagos and I remain committed to creating a better future for all residents.   As we countdown to Saturday, lets look back on some of our work in the last four years and how they confirm that indeed a #GreaterLagosRising.	normal
